item_id,stem_text,Ending_KeyDistractorSim,Ending_MaxDistractorSim,Ending_DistractorHomogeneity,Ending_LengthDispersion,Ending_KeyLengthAdvantage,Ending_StemKeyAdvantage
0,Roof shingle removal: A man is sitting on a roof. He,0.22257190942764282,0.25438863039016724,0.19717033207416534,0.15952183525588715,1.2080808993852439,0.37047913670539856
1,Clean and jerk: A lady walks to a barbell. She bends down and grabs the pole. The lady,0.48216012120246887,0.5216305255889893,0.49308595061302185,0.18938175433506746,2.4410577393003097,-0.09394699335098267
2,"Canoeing: Two women in a child are shown in a canoe while a man pulls the canoe while standing in the water, with other individuals visible in the background. The child and a different man",0.4192821979522705,0.4883178770542145,0.4373284578323364,0.32482980665601036,-2.695844603273713,0.027071744203567505
3,High jump: A boy is running down a track. The boy,0.29304954409599304,0.42489057779312134,0.2560310661792755,0.4452244962611625,2.648338843527577,0.09648989140987396
4,High jump: The boy lifts his body above the height of a pole. The boy lands on his back on to a red mat. The boy,0.6024488210678101,0.7241965532302856,0.4789622724056244,0.27277079558357764,-1.5391076827228152,0.008927136659622192
5,High jump: The boy lands on his back on to a red mat. The boy gets up from the mat. The boy,0.2567758560180664,0.2687808871269226,0.2543310821056366,0.34988520936922973,5.171122347142246,-0.12161360681056976
6,Playing harmonica: A man is standing in front of a camera. He starts playing a harmonica for the camera. He,0.23885087668895721,0.3981338143348694,0.3818725347518921,0.23905587307489515,-0.5689863003945872,-0.3444191813468933
7,Sumo: A cartoon animation video is shown with people wandering around and rockets being shot. Two men,0.08727368712425232,0.12973198294639587,0.08293309062719345,0.12873428627712752,2.9398736610366685,0.050190433859825134
8,Sharpening knives: A man is holding a pocket knife while sitting on some rocks in the wilderness. Then he,0.28103941679000854,0.4293016791343689,0.2714790105819702,0.5811556557609764,-0.08867511090984234,-0.11178845167160034
9,Sharpening knives: Then he takes a small stone from the flowing river and smashes it on another stone. He starts to crush the small stone to smaller pieces. He,0.4089745283126831,0.560177206993103,0.32216891646385193,0.33693081863078345,-2.1858918220716856,0.015321165323257446
10,Sharpening knives: Then he takes a piece of bark and rubs the powered stone pieces onto it. The stone particles stick to the wet piece of wood. He,0.3538220226764679,0.4929924011230469,0.14467552304267883,0.4190646127283043,0.10750915857768673,0.32251882553100586
11,Sharpening knives: The stone particles stick to the wet piece of wood. He then takes the knife and sharpens it against the wood piece. He,0.1288241595029831,0.1961255669593811,0.3305762708187103,0.4139541335599368,0.9131082718912017,-0.25503700971603394
12,Sharpening knives: He then takes the knife and sharpens it against the wood piece. He then notices a little black and green poisonous frog sitting next to him. The frog,0.3978983461856842,0.5185832977294922,0.28393086791038513,0.3356157315797828,-3.976306718399688,-0.06173112988471985
13,Sharpening knives: He then notices a little black and green poisonous frog sitting next to him. The frog then escapes and jumps away. He,0.13491107523441315,0.4439324140548706,0.298518568277359,0.23925906034920322,0.6527139518645054,0.1913173496723175
14,Playing bagpipes: A person is playing bagpipes out in a park. A man and two boys watching from a far. The camera,0.2639223039150238,0.35683679580688477,0.2740734815597534,0.09705387192756534,1.9595917942265424,0.3719370365142822
15,Playing water polo: Two people are seen passing a ball back and fourth in a pool and leads into one speaking to the camera. The man,0.44271430373191833,0.4784068465232849,0.45658087730407715,0.22584273093643556,-0.6657324894839021,0.07039272785186768
16,Having an ice cream: A woman is sitting at a table in a fast food restaurant while eating. She continually speaks to nobody as she eats. She,0.3632943630218506,0.4607853293418884,0.4456435441970825,0.14415045175421393,3.58961294583656,-0.24343621730804443
17,Cheerleading: A group of cheerleaders run onto a stage before a cheering audience. They,0.5833685398101807,0.6597163081169128,0.4672658443450928,0.11712139482105109,0.24525573579398674,0.07570964097976685
18,"Cheerleading: A group of cheerleaders run onto a stage before a cheering audience. They get into formation, then begin dancing and flipping as male cheerleaders join them. They all",0.44166088104248047,0.5190137624740601,0.551217257976532,0.2875985560546333,-0.7433919416750281,-0.11106500029563904
19,"Cheerleading: They get into formation, then begin dancing and flipping as male cheerleaders join them. They all continue dancing and flipping, doing hand springs. When they",0.5315091013908386,0.6534149050712585,0.4253305494785309,0.11250475585662237,-0.7183254632931727,-0.17364075779914856
20,Sharpening knives: A woman is reading a newspaper nearby while he speaks to her and shows her something in his hand. The man sharpens his knives using an electric tool. He,0.3876630365848541,0.4318152964115143,0.557607889175415,0.38333502854865165,-2.563262081801235,-0.2331331968307495
